32,36
31,98
32,24
32,23
31,99
32,07
32,28
32,09
32,22
32,16
32,27
31,95
31,97
32,16
32,29
32,22
32,09
32,17
31,99
32,14
32,25
31,78
31,94
32,16
32,05
32,19
32,15
32,12
31,94
32,09
31,92
31,95
32,2
32,21
32,18
32,26
32,28
31,98
32,1
32,12
32,24
32,05
32,09
32,15
32,08
32,14
32,24
31,8
32,32
32,14
32,14
32,36
32,21
31,91
32,18
32,48
31,92
32,16
32,07
32,44
32,44
31,99
32,17
32,04
32,09
32,4
32,24
32,56
32,32
32,48
32,27
32,39
32,22
32,46
32,14
32,1
32,34
32,32
32,22
32,22
32,23
32,5
32,4
32,17
32,44
32,5
32,3
32,06
32,23
32,28
32,53
32,28
32,35
32,34
32,42
32,5
32,27
32,33
32,26
32,52
32,32
32,23
32,32
32,27
32,14
32,3
32,45
32,47
32,31
32,53
